datetime_utc,date,time,week,symbol,direction,ticket,lots,entry,sl,tp,status,pnl
2025-10-27T14:01:07.145992+00:00,2025-10-27,14:01:07.145992,44,EURUSD,short,0,0.01,1.16352,1.164229056,1.1621018880000005,skipped,0.0
2025-10-27T14:01:08.304430+00:00,2025-10-27,14:01:08.304430,44,GBPUSD,short,0,0.01,1.33339,1.334030017,1.3321099660000004,skipped,0.0
2025-10-27T14:02:40.531093+00:00,2025-10-27,14:02:40.531093,44,NZDUSD,short,53793362605,0.01,0.5757,0.5761999999999999,0.5747000000000001,opened,0.0
2025-10-27T14:06:13.288375+00:00,2025-10-27,14:06:13.288375,44,AUDUSD,long,0,0.01,0.65484,0.65434,0.6558399999999999,skipped,0.0
2025-10-27T14:07:16.702696+00:00,2025-10-27,14:07:16.702696,44,NZDUSD,long,53793509529,0.01,0.57584,0.5753400000000001,0.5768399999999999,opened,0.0
2025-10-27T14:07:48.235421+00:00,2025-10-27,14:07:48.235421,44,AUDUSD,long,0,0.01,0.65482,0.65432,0.6558199999999998,skipped,0.0
2025-10-27T14:08:50.265099+00:00,2025-10-27,14:08:50.265099,44,AUDUSD,long,0,0.01,0.65481,0.6543100000000001,0.6558099999999999,skipped,0.0
2025-10-27T14:10:52.560918+00:00,2025-10-27,14:10:52.560918,44,NZDUSD,long,53793628781,0.01,0.57585,0.57535,0.5768499999999999,opened,0.0
2025-10-27T14:11:54.383437+00:00,2025-10-27,14:11:54.383437,44,NZDUSD,long,0,0.01,0.57584,0.5753400000000001,0.5768399999999999,skipped,0.0
2025-10-27T14:12:55.600846+00:00,2025-10-27,14:12:55.600846,44,AUDUSD,long,0,0.01,0.65484,0.65434,0.6558399999999999,skipped,0.0
2025-10-27T14:13:27.291188+00:00,2025-10-27,14:13:27.291188,44,NZDUSD,long,53793681261,0.01,0.57587,0.57537,0.5768699999999999,opened,0.0
2025-10-27T14:13:58.918613+00:00,2025-10-27,14:13:58.918613,44,NZDUSD,long,0,0.01,0.57585,0.57535,0.5768499999999999,skipped,0.0
2025-10-27T14:14:30.664098+00:00,2025-10-27,14:14:30.664098,44,NZDUSD,long,0,0.01,0.57588,0.57538,0.5768799999999998,skipped,0.0
2025-10-27T14:21:36.301509+00:00,2025-10-27,14:21:36.301509,44,AUDUSD,long,0,0.01,0.65482,0.65432,0.6558199999999998,skipped,0.0
2025-10-27T14:27:41.513792+00:00,2025-10-27,14:27:41.513792,44,AUDUSD,long,0,0.01,0.6548,0.6543000000000001,0.6557999999999999,skipped,0.0
2025-10-27T14:28:12.163215+00:00,2025-10-27,14:28:12.163215,44,AUDUSD,long,0,0.01,0.65481,0.6543100000000001,0.6558099999999999,skipped,0.0
2025-10-27T14:29:13.549513+00:00,2025-10-27,14:29:13.549513,44,AUDUSD,long,0,0.01,0.65502,0.654363494,0.656333012,skipped,0.0
2025-10-27T14:29:45.328146+00:00,2025-10-27,14:29:45.328146,44,AUDUSD,long,0,0.01,0.65501,0.6543634970000001,0.6563030059999998,skipped,0.0
2025-10-27T14:30:16.180603+00:00,2025-10-27,14:30:16.180603,44,EURUSD,short,0,0.01,1.16397,1.1652591909999999,1.1613916180000001,skipped,0.0
2025-10-27T14:30:17.305151+00:00,2025-10-27,14:30:17.305151,44,AUDUSD,long,0,0.01,0.65505,0.6545500000000001,0.6560499999999999,skipped,0.0
2025-10-27T14:30:48.898824+00:00,2025-10-27,14:30:48.898824,44,AUDUSD,long,0,0.01,0.65509,0.65459,0.6560899999999998,skipped,0.0
2025-10-27T14:33:21.120322+00:00,2025-10-27,14:33:21.120322,44,AUDUSD,long,0,0.01,0.65501,0.654393497,0.6562430059999999,skipped,0.0
2025-10-27T14:33:52.786553+00:00,2025-10-27,14:33:52.786553,44,AUDUSD,long,0,0.01,0.65506,0.65456,0.6560599999999999,skipped,0.0
2025-10-27T14:34:23.590760+00:00,2025-10-27,14:34:23.590760,44,AUDUSD,long,0,0.01,0.65501,0.654393497,0.6562430059999999,skipped,0.0
2025-10-27T14:34:54.450675+00:00,2025-10-27,14:34:54.450675,44,AUDUSD,long,0,0.01,0.65505,0.6545500000000001,0.6560499999999999,skipped,0.0
2025-10-27T14:35:25.033363+00:00,2025-10-27,14:35:25.033363,44,AUDUSD,long,0,0.01,0.65506,0.65456,0.6560599999999999,skipped,0.0
2025-10-27T14:35:56.842579+00:00,2025-10-27,14:35:56.842579,44,NZDUSD,long,53794232206,0.01,0.57605,0.5755371850000001,0.5770756299999997,opened,0.0
2025-10-27T14:36:28.571754+00:00,2025-10-27,14:36:28.571754,44,AUDUSD,long,0,0.01,0.65515,0.654593455,0.65626309,skipped,0.0
2025-10-27T14:36:29.975063+00:00,2025-10-27,14:36:29.975063,44,NZDUSD,long,0,0.01,0.57612,0.5755371640000001,0.5772856719999997,skipped,0.0
2025-10-27T14:37:01.186843+00:00,2025-10-27,14:37:01.186843,44,AUDUSD,long,0,0.01,0.65512,0.654593464,0.6561730720000002,skipped,0.0
2025-10-27T14:37:34.048313+00:00,2025-10-27,14:37:34.048313,44,NZDUSD,long,0,0.01,0.5761,0.57553717,0.5772256599999998,skipped,0.0
2025-10-27T14:38:05.034163+00:00,2025-10-27,14:38:05.034163,44,NZDUSD,long,0,0.01,0.57606,0.575537182,0.577105636,skipped,0.0
2025-10-27T14:41:08.415942+00:00,2025-10-27,14:41:08.415942,44,NZDUSD,long,53794355664,0.01,0.57608,0.5755800000000001,0.5770799999999999,opened,0.0
2025-10-27T14:41:39.622797+00:00,2025-10-27,14:41:39.622797,44,NZDUSD,long,0,0.01,0.57605,0.57555,0.5770499999999998,skipped,0.0
2025-10-27T14:42:10.833001+00:00,2025-10-27,14:42:10.833001,44,NZDUSD,long,0,0.01,0.57606,0.5755600000000001,0.5770599999999999,skipped,0.0
2025-10-27T14:43:12.127188+00:00,2025-10-27,14:43:12.127188,44,NZDUSD,long,0,0.01,0.57609,0.57559,0.5770899999999999,skipped,0.0
2025-10-27T14:44:13.661150+00:00,2025-10-27,14:44:13.661150,44,NZDUSD,long,53794411263,0.01,0.57605,0.57555,0.5770499999999998,opened,0.0
2025-10-27T14:54:51.005393+00:00,2025-10-27,14:54:51.005393,44,AUDUSD,long,0,0.01,0.65495,0.6544500000000001,0.6559499999999999,skipped,0.0
2025-10-27T14:55:22.716764+00:00,2025-10-27,14:55:22.716764,44,AUDUSD,long,0,0.01,0.65496,0.65446,0.6559599999999999,skipped,0.0
2025-10-27T14:56:23.653564+00:00,2025-10-27,14:56:23.653564,44,AUDUSD,long,0,0.01,0.65511,0.654593467,0.6561430659999999,skipped,0.0
2025-10-27T14:56:24.170889+00:00,2025-10-27,14:56:24.170889,44,NZDUSD,long,0,0.01,0.57609,0.57559,0.5770899999999999,skipped,0.0
2025-10-27T14:56:55.744359+00:00,2025-10-27,14:56:55.744359,44,AUDUSD,long,0,0.01,0.6551,0.65459347,0.65611306,skipped,0.0
2025-10-27T14:56:56.227812+00:00,2025-10-27,14:56:56.227812,44,NZDUSD,long,0,0.01,0.5761,0.5756,0.5770999999999998,skipped,0.0
2025-10-27T14:57:27.833571+00:00,2025-10-27,14:57:27.833571,44,AUDUSD,long,0,0.01,0.65514,0.654593458,0.6562330839999998,skipped,0.0
2025-10-27T14:57:59.809703+00:00,2025-10-27,14:57:59.809703,44,AUDUSD,long,0,0.01,0.6551,0.65459347,0.65611306,skipped,0.0
2025-10-27T15:00:03.142590+00:00,2025-10-27,15:00:03.142590,44,GBPUSD,short,0,0.01,1.33304,1.3340999119999999,1.3309201760000002,skipped,0.0
